from,collection,total_lost
\xd3e849a85ff3d6e4bc3e8e78941b3f0e3df0b9e0,inbetweeners,6
\x46377217d9a3c7cdeb5024da76ff434d09c49a18,Big Cats,6
\x95bba6ac145f6b34433671800403752ae401c530,Ethereum Name Service (ENS),6
\x953d7368791370c9a754b193e3d945a76105abb7,The Lobstars,6
\x5f68f28b9e313fce52b122d464431e94ecfdc887,Mavia Land,6
\x13870d3a2153ae81da9556fc9cdb916df4a3df72,Satoshibles,6
\x1bd4cd52d3c0193765e0d1577aa2551cdebf71ec,BEANZ Official,6
\x367c2839fb9980a717f920c7f24be4ec919bf18d,Okay Bears Yacht Club,6
\x7177ebc64081868d5bcbccfbc651fdc0b4020ff6,CryptoNinja Partners,5
\xfeebb7251827a89143049d400573f71f54676adf,Boki - NFT,5
\xdb3f35dcd64ee4b9ad2e257b443b400892370355,CloneX,5
\xa450372dc823bd6b3bfefdfc9893a597e1552aa6,tubby cats by tubby collective,5
\xe54e9301274c695ff601256bae12c84b6c6d01da,Illuminati,5
\x31731a1a672482b0ae8e2b7cc6c621c437efe792,Okay Bears Yacht Club,5
\x939cac27d5944bafa6571fe7a3552effa72db1de,goblintown.wtf,5
\xff8991b1fa6b84e141bde964d442ceae0348040e,CryptoNinja Partners,5
\x2c5989076d2ede34461748093165ed9e8c984433,Otherdeed for Otherside,5
\xa89e3af6c971fd5b17782fbfaf96a603270f0518,Mindblowon V2,5
\xff8991b1fa6b84e141bde964d442ceae0348040e,Illuminati,5
\x02babb3eea57e41ff704561d63687b27c32e12fd,Akuma Origins,5
\xbc15ac912c4af743eed5c0f033824de9de95cd4f,Akutars,5
\x5baf1e79a8098e9087b51ae494dcb92fe10fcc06,Ethereum Name Service (ENS),5
\xbb34d08c67373e54f066e6e7e6c77846ff7d2714,Desperate ApeWives,5
\x988905dbb0f9a0252f9e8e23960c10796a843a3a,Illuminati,5
\x5baf1e79a8098e9087b51ae494dcb92fe10fcc06,Angry Ape Army Evolution Collection,5
\xed16e8727f9ae1315b6d3c8b93e988c4218c967a,Ethereum Name Service (ENS),5
\x5b8fb276cb9dd483a16e92f1a6fb37fc34b7b94d,Okay Bears Yacht Club,5
\x8d5f42b2c154989ad48e196df8eab895f18ee1a2,DuskBreakers,5
\x825d8518e4dc37dd6c6f4812fc234d7f2438faca,apekidsclub,5
\xd49a41e75aab3b626b94a479ff350e5f216c8950,Lil Heroes,5
\x028d581d5c68e443d8dac7ed4a8383adc10d148e,Nifty League DEGENs,5
\x0a421314f0eaec87675753daa595f311c4d6eafc,AINightbirds,5
\x30a51388020ade87a98e8c5afbc17302f11aed5f,Metroverse Blackout,5
\x790baec8a0961096e8b541fb81bc6907c46961cd,Samurai Saga,5
\x7968211dda31efadca2b63fe769b162e43c8b7c8,MoodRollers,5
\x0a137709e5a3eac07d09e878068f807f9c82488d,Los Muertos World,5
\x375d48cd18d06c4b580741fcba729129425ba8ee,Troverse Planets,5
\xb51fd883ed33cf20d8410b755529bbd51c905fb0,Meta Bounty Hunters,5
\x8dc8a0917875bdb3fca0c019ee99c3863f7234bc,Weirdo Ghost Gang,5
\x960421322900399785924a6640becd9d8bb54161,inbetweeners,5
\xac703cdbe2c7e1f72dfc45471bbbf3704847430e,G’EVOLs,5
\xc40bbccab1d37291e76555d447e986d5f5f314aa,Blvck Genesis,5
\xac775508922d29a74cbf21740f7dd883b839a7fa,Regulars,5
\xc94f29a093c8863cb139740e0b1f8264d6b7f93b,Akutars,5
\x420aa9b92f8cd1d73d118bcd6ba9208911a423ce,DEGEN TOONZ COLLECTION,5
\x3e79bf1fc75334d72760bdde7e8690c342949313,DentedFeelsNFT,5
\xae4e813849a7edde952bb1826e546c1157581e76,ill poop it nft,5
\x8a7524041427401be686acb08c074ba646584b7e,YOUR MOMS HOUSE,5
\x11be585b694b35a1cbe9982b2b4e162088b0b89d,OnChainMonkey,5
\x0e1ca0c78c85457e04dd6f256b290f6c31b7629a,hausphases,5
\x178fa7ca680def0c3a904f5f5a26289d9158e032,CloneX,5
\x56e4f69eeac05658972b556ec037c2c1dd97fb53,RebelBots,5
\x469b2da67ae7db77a8fde2723eff3819f00e61ed,The Lobstars,5
\x134b6aa11643fc4c4cec7b67000a97b76a271fd6,Toxic Skulls Club,5
\xb07233271afec70ee642e7a81299cf90c891b8f0,Elftown.wtf,5
\x08fd86218a2f42381e180f349c0b595cc05afab5,Okay Bears Yacht Club,5
\x40881dd5b6482854fc01d010ed99fd346f0608b1,EightBit Me,5
\x8d10b5cb3f7a9a347e738baf290e7aedc0abecf3,goblintown.wtf,5
\xc4b69eb6d9c42938b80d057f590ef93964fba1b7,Akumu Dragonz,5
\xddded508d470892a60d0a76df30918a7a89e37a6,Farmer,5
\xdd621f5c25555442384c6196427da57039e8922d,Mirror Passes V2,5
\x1269e6a15bfd5b57e16e28050ab41f955a4bfc18,FoxFam,5
\x9f680710c4aaf0825b957d3f8daacfa6ce8bd440,DentedFeelsNFT,5
\x5d0daafe967033cb5b53442462ef44a2d6dfd37e,CryptoDads,5
\xe13aac7fafeabdaeaf64ca754aad2d4408bb2444,Rabbitars,5
\x9fe5b9819878679ada7f7ab19066f12393807498,DeadFellaz,5
\x3ae57e4c4c54979425b3d881a6ee5f44a38ec049,Ethereum Name Service (ENS),5
\xa25d3d1f0c038d7cf18c01cc966f4c016da2b51e,tubby cats by tubby collective,5
\x31d2a7107556a6173c09623a6c0c05e59572009f,Goons,5
\x58cb0ddf0f64d01fab2ed0fcc0c034dc8bb3af3b,Toxic Skulls Club,5
\xb4d11e83b6e1fb0a2a0c6d8c331428efc8711f56,Lil Heroes,4
\x58f019717fc4da9309837af574f23edcea8d95e4,Ethereum Name Service (ENS),4
\x22c7c97c69220e709c0e1284f16d15b3edd5c892,Knights of Degen,4
\xb65bb02872b5650f35ded0aab9bf79b0ab40ed56,NotOkayBears,4
\x230e27b7ccf5784618c0ea807b32b11022dbc5dd,CryptoNinja Partners,4
\x41c0a89a393a2c5865f5b4ae27d91b67a44bc812,Ethereum Name Service (ENS),4
\x819f1dbee53c25301b9bce8d6c36e39a55337f88,PunkScape,4
\xb9488bb4f6b57093eaa9a0cf0d722ed61e8039ac,Ethereum Name Service (ENS),4
\xba0431f70833fe78d118f1e55bab3c8a526f303c,Impact Theory Founder's Key,4
\x5baf1e79a8098e9087b51ae494dcb92fe10fcc06,VOX Collectibles: The Walking Dead,4
\x4327a9667a4e25f7e0b3482f3321bb286182f992,GenesisApostle,4
\xbd8a7547c4c01e589fc6bf5ba74f36524966da0a,Meta-Legends,4
\xbd9cc99a810a0677593cc9c515a24aed53efc168,LilPudgys,4
\x245ad63fbc793a9b085ae7151117115f1e97aac6,Wanderers,4
\x440dc98aae2b8954ea5893021bb84891a066ab39,goblintown.wtf,4
\x85e700f6c3856f45d983dad41e5e99df733390f4,Ape Reunion,4
\x85f661624f0df91343accd7aa0a33a528ad20684,Antonym: GENESIS,4
\xbfe9db4695fcf40703638ab3a6aa31364af1fad4,Weirdo Ghost Gang,4
\xc3632cd03bed246719965bb74279af79be4bd813,Lazy Lions,4
\x5e7fc6ef1c67fc77fbfbedd019d6f19f10e12802,DeadHeads,4
\x5f2ac9eac2270bfa9a0324bc9311178ae68d0cf8,NotOkayBears,4
\xc4b9d206b5a469f3dda9b7f9a2a00670aa5d3bbd,Meebits,4
\x602ac98b6d1ca70e3ef985721ab7a96e783ad216,Los Muertos World,4
\x33eda04ec4fdde5ff4dac7df59b06aafd9000b84,COOLDOGS,4
\xc62a5ba9afc32d9b94f5731ed838d34198707ba4,Doodles,4
\xc646fd64bfe82b3c8675adee51b39ff200c51c9a,Antonym: GENESIS,4
\xc6cf3854032eed9ba5688b3f8526a130c188bfa9,CakedApes,4
\x61800f3230a6954888032a5f0bc37a7611a719ae,Something Token,4
\x61ad944c6520116fff7d537a789d28391a7a6425,We Are All Going to Die,4
\xca2bb95cab26e027a74db2dbf8099047a5881b01,Ethereum Name Service (ENS),4
\x8ea2a56fef1887001961b34f69b9191d24fc415c,Jenkins the Valet,4
